,iteration,success,reached_goal,num_steps,steps_efficiency,total_reward,final_reward,reward_per_step,termination_type,cumulative_success_rate,rolling_success_rate_3,rolling_success_rate_5,rolling_success_rate_10,rolling_avg_steps_3,rolling_avg_steps_5,rolling_avg_steps_10,cumulative_reward,rolling_avg_steps_success_3,rolling_avg_steps_success_5,rolling_avg_steps_success_10
0,0,1,True,10,0.1,1,1,0.1,goal,1.0,1.0,1.0,1.0,10.0,10.0,10.0,1,10.0,10.0,10.0
1,1,1,True,12,0.08333333333333333,1,1,0.08333333333333333,goal,1.0,1.0,1.0,1.0,11.0,11.0,11.0,2,11.0,11.0,11.0
2,2,1,True,10,0.1,1,1,0.1,goal,1.0,1.0,1.0,1.0,10.666666666666666,10.666666666666666,10.666666666666666,3,10.666666666666666,10.666666666666666,10.666666666666666
3,3,1,True,12,0.08333333333333333,1,1,0.08333333333333333,goal,1.0,1.0,1.0,1.0,11.333333333333334,11.0,11.0,4,11.333333333333334,11.0,11.0
4,4,1,True,10,0.1,1,1,0.1,goal,1.0,1.0,1.0,1.0,10.666666666666666,10.8,10.8,5,10.666666666666666,10.8,10.8
5,5,1,True,10,0.1,1,1,0.1,goal,1.0,1.0,1.0,1.0,10.666666666666666,10.8,10.666666666666666,6,10.666666666666666,10.8,10.666666666666666
6,6,1,True,10,0.1,1,1,0.1,goal,1.0,1.0,1.0,1.0,10.0,10.4,10.571428571428571,7,10.0,10.4,10.571428571428571
7,7,1,True,10,0.1,1,1,0.1,goal,1.0,1.0,1.0,1.0,10.0,10.4,10.5,8,10.0,10.4,10.5
8,8,1,True,10,0.1,1,1,0.1,goal,1.0,1.0,1.0,1.0,10.0,10.0,10.444444444444445,9,10.0,10.0,10.444444444444445
9,9,1,True,10,0.1,1,1,0.1,goal,1.0,1.0,1.0,1.0,10.0,10.0,10.4,10,10.0,10.0,10.4
